No.,cpuname,Description:,Socket:,Clockspeed:,Turbo Speed:,Cores:,Threads:,Typical TDP:,Cache Size:,Memory Support:,Other names:,CPU First Seen on Charts:,CPUmark/$Price:,Overall Rank:,Last Price Change:,PassMark CPU Rating:,Single Thread Rating:,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread,single_thread,multi_thread,FLOPS,Class:,TDP Down:,TDP Up,Total Cores:,Primary Cores:,Secondary Cores:,Performance Cores:,Efficient Cores:
4739,Intel Core i3-1115G4E @ 3.00GHz,Intel UHD Graphics for 11th Gen Intel Processors,BGA 1449,2.2 GHz,3.9 GHz,2,4,15 W,"L1: 160 KB, L2: 2.5 MB, L3: 6 MB","Max. Memory Size: 64 GB (DDR4-3200, LPDDR4x-3733)","11th Gen Intel(R) Core(TM) i3-1115G4E @ 3.00GHz, 11th Gen Intel Core i3-1115G4E @ 3.00GHz",Q1 2022,20.44,1451,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5826,2609,"17,044 MOps/Sec","10,323 MOps/Sec",26 Million Primes/Sec,"7,596 Thousand Strings/Sec","3,412 MBytes/Sec","58,672 KBytes/Sec",455 Frames/Sec,"4,456 Million Matrices/Sec","2,609 MOps/Sec",2609.0,4456.0,10323.0,Mobile/Embedded,12 W,: 28 W,,,,,
4783,Intel Core i7-1280P,Intel Iris Xe Graphics,FCBGA1744,,,,,28 W,"L1: 1248 KB, L2: 11.5 MB, L3: 24 MB","Max. Memory Size: 64 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to )","12th Gen Intel(R) Core(TM) i7-1280P, 12th Gen Intel Core i7-1280P",Q1 2022,42.40,476,From submitted results to PerformanceTest V10 as of 31st of October 2023.,20439,3322,"77,275 MOps/Sec","51,724 MOps/Sec",89 Million Primes/Sec,"24,744 Thousand Strings/Sec","13,371 MBytes/Sec","221,898 KBytes/Sec","1,475 Frames/Sec","12,851 Million Matrices/Sec","3,322 MOps/Sec",3322.0,12851.0,51724.0,Laptop,20 W,: 64 W,"14 Cores, 20 Threads",,,"6 Cores, 12 Threads, 1.8 GHz Base, 4.8 GHz Turbo","8 Cores, 8 Threads, 1.3 GHz Base, 3.6 GHz Turbo"
4734,Rockchip RK3566 BOX DEMO V10 ANDROID Board,Rockchip RK3566 BOX DEMO V10 ANDROID Board,Rockchip RK3566 BOX DEMO V10 ANDROID Board,1.8 GHz,,4,4,,,,Rockchip RK3566 BOX DEMO V10 ANDROID Board,Q1 2022,NA,3331,NA,1079,518,"9,926 MOps/Sec","1,774 MOps/Sec",3 Million Primes/Sec,"3,583 Thousand Strings/Sec","1,326 MBytes/Sec","15,163 KBytes/Sec",55 Frames/Sec,270 Million Matrices/Sec,518 MOps/Sec,518.0,270.0,1774.0,Mobile/Embedded,,,,,,,
4709,Intel Celeron G6900,Intel UHD Graphics 710,"LGA1700,BGA1700",3.4 GHz,,2,2,46 W,"L1: 160 KB, L2: 2.5 MB, L3: 4 MB",,"Intel(R) Celeron(R) G6900, Intel Celeron G6900",Q1 2022,56.95,1689,From submitted results to PerformanceTest V10 as of 31st of October 2023.,4550,2728,"9,728 MOps/Sec","12,221 MOps/Sec",31 Million Primes/Sec,"5,215 Thousand Strings/Sec","2,221 MBytes/Sec","45,006 KBytes/Sec",406 Frames/Sec,"4,293 Million Matrices/Sec","2,728 MOps/Sec",2728.0,4293.0,12221.0,Desktop,,,,,,,
4700,Intel Xeon W-1270E @ 3.40GHz,Intel UHD Graphics 630,FCLGA1200,3.4 GHz,4.8 GHz,8,16,80 W,,"Max. Memory Size: 128 GB (DDR4-2933, ECC Supported)",Intel(R) Xeon(R) W-1270E CPU @ 3.40GHz,Q1 2022,50.78,539,From submitted results to PerformanceTest V10 as of 31st of October 2023.,18635,2990,"60,817 MOps/Sec","38,916 MOps/Sec",63 Million Primes/Sec,"35,789 Thousand Strings/Sec","7,292 MBytes/Sec","272,275 KBytes/Sec","1,069 Frames/Sec","16,684 Million Matrices/Sec","2,990 MOps/Sec",2990.0,16684.0,38916.0,"Server, Mobile/Embedded",,,,,,,
4674,MT8173,MT8173,MT8173,1.8 GHz,,4,4,,,,MT8173,Q1 2022,NA,3613,NA,804,597,"5,601 MOps/Sec","1,679 MOps/Sec",3 Million Primes/Sec,"1,892 Thousand Strings/Sec",482.8 MBytes/Sec,"14,348 KBytes/Sec",61 Frames/Sec,230 Million Matrices/Sec,597 MOps/Sec,597.0,230.0,1679.0,Mobile/Embedded,,,,,,,
4778,Intel Core i7-12800H,Intel Iris Xe Graphics,FCBGA1744,,,,,45 W,"L1: 1248 KB, L2: 11.5 MB, L3: 24 MB","Max. Memory Size: 64 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to )","12th Gen Intel(R) Core(TM) i7-12800H, 12th Gen Intel Core i7-12800H",Q1 2022,54.50,332,From submitted results to PerformanceTest V10 as of 31st of October 2023.,24908,3501,"88,946 MOps/Sec","61,977 MOps/Sec",104 Million Primes/Sec,"31,304 Thousand Strings/Sec","16,712 MBytes/Sec","279,757 KBytes/Sec","1,704 Frames/Sec","16,735 Million Matrices/Sec","3,501 MOps/Sec",3501.0,16735.0,61977.0,Laptop,35 W,: 115 W,"14 Cores, 20 Threads",,,"6 Cores, 12 Threads, 2.4 GHz Base, 4.8 GHz Turbo","8 Cores, 8 Threads, 1.8 GHz Base, 3.7 GHz Turbo"
4747,"rockchip,rk3328","rockchip,rk3328","rockchip,rk3328",1.5 GHz,,4,4,,,,"rockchip,rk3328",Q1 2022,NA,3663,NA,761,356,"7,591 MOps/Sec","1,259 MOps/Sec",3 Million Primes/Sec,"2,479 Thousand Strings/Sec",898.1 MBytes/Sec,"9,173 KBytes/Sec",51 Frames/Sec,180 Million Matrices/Sec,356 MOps/Sec,356.0,180.0,1259.0,Mobile/Embedded,,,,,,,
4633,AMD Ryzen 7 5800HS Creator Edition,AMD Ryzen 7 5800HS Creator Edition,AMD Ryzen 7 5800HS Creator Edition,3.2 GHz,4.4 GHz,8,16,,"L1: 512 KB, L2: 4.0 MB, L3: 16 MB",,AMD Ryzen 7 5800HS Creator Edition,Q4 2021,NA,448,NA,21166,3100,"80,916 MOps/Sec","44,507 MOps/Sec",54 Million Primes/Sec,"27,617 Thousand Strings/Sec","16,690 MBytes/Sec","262,590 KBytes/Sec",895 Frames/Sec,"17,495 Million Matrices/Sec","3,100 MOps/Sec",3100.0,17495.0,44507.0,Laptop,,,,,,,
4777,Intel Celeron N5095A @ 2.00GHz,Intel UHD Graphics,FCBGA1338,2.0 GHz,2.9 GHz,4,4,15 W,,,"Intel(R) Celeron(R) N5095A @ 2.00GHz, Intel Celeron N5095A @ 2.00GHz",Q1 2022,NA,1787,NA,4133,1515,"13,013 MOps/Sec","8,177 MOps/Sec",13 Million Primes/Sec,"7,824 Thousand Strings/Sec","3,233 MBytes/Sec","55,722 KBytes/Sec",291 Frames/Sec,"1,561 Million Matrices/Sec","1,515 MOps/Sec",1515.0,1561.0,8177.0,Desktop,,,,,,,
4745,MT6877V/TZA,MT6877V/TZA,MT6877V/TZA,2.5 GHz,,8,8,,,,MT6877V/TZA,Q1 2022,NA,1633,NA,4871,1871,"24,695 MOps/Sec","8,610 MOps/Sec",11 Million Primes/Sec,"12,589 Thousand Strings/Sec","3,496 MBytes/Sec","75,570 KBytes/Sec",229 Frames/Sec,"1,710 Million Matrices/Sec","1,871 MOps/Sec",1871.0,1710.0,8610.0,Mobile/Embedded,,,,,,,
4744,MT8195AV/ZA,MT8195AV/ZA,MT8195AV/ZA,2.2 GHz,,8,8,,,,MT8195AV/ZA,Q1 2022,NA,1465,NA,5735,1840,"28,829 MOps/Sec","12,093 MOps/Sec",19 Million Primes/Sec,"10,902 Thousand Strings/Sec","3,657 MBytes/Sec","80,213 KBytes/Sec",334 Frames/Sec,"1,904 Million Matrices/Sec","1,840 MOps/Sec",1840.0,1904.0,12093.0,Mobile/Embedded,,,,,,,
4743,MT8161A,MT8161A,MT8161A,1.3 GHz,,4,4,,,,MT8161A,Q1 2022,NA,3620,NA,800,374,"7,449 MOps/Sec","1,247 MOps/Sec",2 Million Primes/Sec,"2,680 Thousand Strings/Sec",971.5 MBytes/Sec,"13,744 KBytes/Sec",48 Frames/Sec,177 Million Matrices/Sec,374 MOps/Sec,374.0,177.0,1247.0,Mobile/Embedded,,,,,,,
4716,Intel Pentium Gold G5600T @ 3.30GHz,Intel UHD Graphics 630,FCLGA1151,3.3 GHz,,2,4,35 W,,,Intel(R) Pentium(R) Gold G5600T CPU @ 3.30GHz,Q1 2022,NA,1936,NA,3601,2025,"11,933 MOps/Sec","6,285 MOps/Sec",18 Million Primes/Sec,"7,048 Thousand Strings/Sec","1,674 MBytes/Sec","52,337 KBytes/Sec",392 Frames/Sec,"1,384 Million Matrices/Sec","2,025 MOps/Sec",2025.0,1384.0,6285.0,Desktop,25 W,,,,,,
4763,Intel Atom x6425RE @ 1.90GHz,Intel UHD Graphics for 10th Gen Intel Processors,FCBGA1493,1.9 GHz,,4,4,12 W,"L1: 4096 KB, L2: 12.0 MB, L3: 4 MB",,"Intel Atom(R) x6425RE Processor @ 1.90GHz, Intel Atom x6425RE Processor @ 1.90GHz",Q1 2022,50.62,2168,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2987,1026,"9,653 MOps/Sec","5,576 MOps/Sec",10 Million Primes/Sec,"5,656 Thousand Strings/Sec","2,288 MBytes/Sec","38,957 KBytes/Sec",216 Frames/Sec,"1,242 Million Matrices/Sec","1,026 MOps/Sec",1026.0,1242.0,5576.0,Mobile/Embedded,,,,,,,
4627,Intel Xeon Gold 6354 @ 3.00GHz,"Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz, Intel Xeon Gold 6354 CPU @ 3.00GHz",FCLGA4189,3.0 GHz,3.6 GHz,18,36,205 W,"L1: 1440 KB, L2: 22.5 MB, L3: 39 MB",,"Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz, Intel Xeon Gold 6354 CPU @ 3.00GHz",Q4 2021,15.03,133,From submitted results to PerformanceTest V10 as of 31st of October 2023.,41445,2450,"156,523 MOps/Sec","90,982 MOps/Sec",201 Million Primes/Sec,"69,687 Thousand Strings/Sec","29,650 MBytes/Sec","558,926 KBytes/Sec","3,257 Frames/Sec","42,127 Million Matrices/Sec","2,450 MOps/Sec",2450.0,42127.0,90982.0,Server,,,,,,,
4760,AMD Ryzen 5 5625U,with Radeon Graphics,FP6,2.3 GHz,4.3 GHz,6,12,15 W,"L1: 384 KB, L2: 3.0 MB, L3: 16 MB",,AMD Ryzen 5 5625U with Radeon Graphics,Q1 2022,NA,681,NA,15118,2915,"57,058 MOps/Sec","30,460 MOps/Sec",46 Million Primes/Sec,"19,190 Thousand Strings/Sec","11,474 MBytes/Sec","180,407 KBytes/Sec",655 Frames/Sec,"11,852 Million Matrices/Sec","2,915 MOps/Sec",2915.0,11852.0,30460.0,Laptop,,,,,,,
4708,AMD EPYC 7443,AMD EPYC 7443 24-Core Processor,SP3,2.9 GHz,4.0 GHz,24,48,200 W,,,AMD EPYC 7443 24-Core Processor,Q1 2022,24.59,72,From submitted results to PerformanceTest V10 as of 31st of October 2023.,54870,2893,"231,416 MOps/Sec","122,027 MOps/Sec",398 Million Primes/Sec,"85,520 Thousand Strings/Sec","58,528 MBytes/Sec","845,133 KBytes/Sec","4,821 Frames/Sec","46,706 Million Matrices/Sec","2,893 MOps/Sec",2893.0,46706.0,122027.0,Server,165 W,,,,,,
4758,Unisoc T310,Unisoc T310,Unisoc T310,2.0 GHz,,4,4,,,,Unisoc T310,Q1 2022,NA,3066,NA,1394,1089,"8,965 MOps/Sec","2,266 MOps/Sec",3 Million Primes/Sec,"3,926 Thousand Strings/Sec","1,227 MBytes/Sec","25,253 KBytes/Sec",85 Frames/Sec,439 Million Matrices/Sec,"1,089 MOps/Sec",1089.0,439.0,2266.0,Mobile/Embedded,,,,,,,
4704,AMD Athlon Gold 3150G,with Radeon Graphics,AM4,3.5 GHz,3.9 GHz,4,4,65 W,"L1: 384 KB, L2: 2.0 MB, L3: 4 MB",,AMD Athlon Gold 3150G with Radeon Graphics,Q1 2022,NA,1227,NA,7112,2263,"20,868 MOps/Sec","13,683 MOps/Sec",21 Million Primes/Sec,"10,548 Thousand Strings/Sec","4,656 MBytes/Sec","88,877 KBytes/Sec",356 Frames/Sec,"4,736 Million Matrices/Sec","2,263 MOps/Sec",2263.0,4736.0,13683.0,Desktop,45 W,,,,,,
4719,Intel Core i5-1250P,Intel Iris Xe Graphics G7,BGA1700,,,,,28 W,"L1: 1088 KB, L2: 9.0 MB, L3: 18 MB","Max. Memory Size: 64 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to )","12th Gen Intel(R) Core(TM) i5-1250P, 12th Gen Intel Core i5-1250P",Q1 2022,NA,470,NA,20609,3493,"73,392 MOps/Sec","51,456 MOps/Sec",56 Million Primes/Sec,"28,003 Thousand Strings/Sec","14,813 MBytes/Sec","242,491 KBytes/Sec","1,096 Frames/Sec","13,902 Million Matrices/Sec","3,493 MOps/Sec",3493.0,13902.0,51456.0,Laptop,,,"12 Cores, 16 Threads",,,"4 Cores, 8 Threads, 1.7 GHz Base, 4.4 GHz Turbo","8 Cores, 8 Threads, 1.2 GHz Base, 3.3 GHz Turbo"
4711,AMD TurionX2 Ultra DualCore Mobile ZM-87,AMD Turion(tm)X2 Ultra DualCore Mobile ZM-87,S1,2.4 GHz,,2,2,35 W,"L1: 256 KB, L2: 2.0 MB,",,AMD Turion(tm)X2 Ultra DualCore Mobile ZM-87,Q1 2022,NA,3846,NA,599,770,"1,461 MOps/Sec","1,969 MOps/Sec",1 Million Primes/Sec,"2,260 Thousand Strings/Sec",268.8 MBytes/Sec,"16,302 KBytes/Sec",72 Frames/Sec,170 Million Matrices/Sec,770 MOps/Sec,770.0,170.0,1969.0,Mobile/Embedded,,,,,,,
4710,Intel Core i9-12900T,Intel UHD Graphics 770,FCLGA1700,,,,,35 W,"L1: 1408 KB, L2: 14.0 MB, L3: 30 MB","Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, ECC Supported)","12th Gen Intel(R) Core(TM) i9-12900T, 12th Gen Intel Core i9-12900T",Q1 2022,61.48,234,From submitted results to PerformanceTest V10 as of 31st of October 2023.,30065,3862,"108,746 MOps/Sec","76,760 MOps/Sec",115 Million Primes/Sec,"40,764 Thousand Strings/Sec","21,317 MBytes/Sec","351,502 KBytes/Sec","1,789 Frames/Sec","20,329 Million Matrices/Sec","3,862 MOps/Sec",3862.0,20329.0,76760.0,Desktop,,: 106 W,"16 Cores, 24 Threads",,,"8 Cores, 16 Threads, 1.4 GHz Base, 4.9 GHz Turbo","8 Cores, 8 Threads, 1.0 GHz Base, 3.6 GHz Turbo"
4766,Intel Core i7-1265U,Intel Iris Xe Graphics,FCBGA1744,,,,,15 W,"L1: 928 KB, L2: 6.5 MB, L3: 12 MB","Max. Memory Size: 64 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to )","12th Gen Intel(R) Core(TM) i7-1265U, 12th Gen Intel Core i7-1265U",Q1 2022,32.92,737,From submitted results to PerformanceTest V10 as of 31st of October 2023.,14022,3289,"51,775 MOps/Sec","34,428 MOps/Sec",46 Million Primes/Sec,"18,052 Thousand Strings/Sec","9,699 MBytes/Sec","153,467 KBytes/Sec",887 Frames/Sec,"8,476 Million Matrices/Sec","3,289 MOps/Sec",3289.0,8476.0,34428.0,"Laptop, Mobile/Embedded",12 W,: 55 W,"10 Cores, 12 Threads",,,"2 Cores, 4 Threads, 1.8 GHz Base, 4.8 GHz Turbo","8 Cores, 8 Threads, 1.3 GHz Base, 3.6 GHz Turbo"
4705,MT8786V/CA,MT8786V/CA,MT8786V/CA,2.0 GHz,,8,8,,,,MT8786V/CA,Q1 2022,NA,2106,NA,3126,1163,"21,345 MOps/Sec","5,342 MOps/Sec",8 Million Primes/Sec,"8,955 Thousand Strings/Sec","2,843 MBytes/Sec","53,766 KBytes/Sec",176 Frames/Sec,830 Million Matrices/Sec,"1,163 MOps/Sec",1163.0,830.0,5342.0,Mobile/Embedded,,,,,,,
4772,vendor Kirin810,vendor Kirin810,vendor Kirin810,2.3 GHz,,8,8,,,,vendor Kirin810,Q1 2022,NA,1763,NA,4236,1548,"22,995 MOps/Sec","7,063 MOps/Sec",10 Million Primes/Sec,"9,032 Thousand Strings/Sec","3,520 MBytes/Sec","69,295 KBytes/Sec",212 Frames/Sec,"1,654 Million Matrices/Sec","1,548 MOps/Sec",1548.0,1654.0,7063.0,Mobile/Embedded,,,,,,,
4782,Apple M1 Ultra 20 Core,ARM Apple M1 Ultra 20 Core 0 MHz,ARM Apple M1 Ultra 20 Core 0 MHz,,,,,60 W,,,ARM Apple M1 Ultra 20 Core 0 MHz,Q1 2022,NA,137,NA,40886,3869,"92,688 MOps/Sec","130,325 MOps/Sec",540 Million Primes/Sec,"67,141 Thousand Strings/Sec","25,047 MBytes/Sec","559,506 KBytes/Sec","5,524 Frames/Sec","22,558 Million Matrices/Sec","3,869 MOps/Sec",3869.0,22558.0,130325.0,Desktop,,,"20 Cores, 20 Threads","16 Cores, 16 Threads, 3.2 GHz Base, NA Turbo","4 Cores, 4 Threads, 2.1 GHz Base, NA Turbo",,
4730,Intel Core i3-1110G4 @ 1.80GHz,Intel UHD Graphics for 11th Gen Intel Processors,FCBGA1598,1.8 GHz,3.9 GHz,2,4,,"L1: 160 KB, L2: 2.5 MB, L3: 6 MB",Max. Memory Size: 32 GB (LPDDR4x-4267),11th Gen Intel(R) Core(TM) i3-1110G4 @ 1.80GHz,Q1 2022,15.62,1726,From submitted results to PerformanceTest V10 as of 31st of October 2023.,4390,2287,"16,586 MOps/Sec","9,625 MOps/Sec",23 Million Primes/Sec,"5,573 Thousand Strings/Sec","2,341 MBytes/Sec","48,131 KBytes/Sec",445 Frames/Sec,"2,557 Million Matrices/Sec","2,287 MOps/Sec",2287.0,2557.0,9625.0,Mobile/Embedded,7 W,: 15 W,,,,,
4725,"Qualcomm Technologies, Inc KHAJE","Qualcomm Technologies, Inc KHAJE","Qualcomm Technologies, Inc KHAJE",2.4 GHz,,8,8,,,,"Qualcomm Technologies, Inc KHAJE",Q1 2022,NA,1989,NA,3405,1149,"23,656 MOps/Sec","6,293 MOps/Sec",6 Million Primes/Sec,"10,918 Thousand Strings/Sec","2,855 MBytes/Sec","63,571 KBytes/Sec",163 Frames/Sec,"1,115 Million Matrices/Sec","1,149 MOps/Sec",1149.0,1115.0,6293.0,Mobile/Embedded,,,,,,,
4746,Intel Core i3-12300,Intel UHD Graphics 730,LGA 1700,3.5 GHz,4.4 GHz,4,8,60 W,"L1: 320 KB, L2: 5.0 MB, L3: 12 MB","Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s)",12th Gen Intel(R) Core(TM) i3-12300,Q1 2022,102.84,699,From submitted results to PerformanceTest V10 as of 31st of October 2023.,14706,3637,"43,240 MOps/Sec","33,657 MOps/Sec",64 Million Primes/Sec,"16,323 Thousand Strings/Sec","8,547 MBytes/Sec","170,054 KBytes/Sec",958 Frames/Sec,"11,360 Million Matrices/Sec","3,637 MOps/Sec",3637.0,11360.0,33657.0,Desktop,,: 89 W,,,,,
4718,Intel Pentium J6426 @ 2.00GHz,Intel UHD Graphics for 10th Gen Intel Processors,FCBGA1493,2.0 GHz,3.0 GHz,4,4,10 W,"L1: 256 KB, L2: 1.5 MB, L3: 4 MB",,"Intel(R) Pentium(R) J6426 @ 2.00GHz, Intel Pentium J6426 @ 2.00GHz",Q1 2022,52.16,1778,From submitted results to PerformanceTest V10 as of 31st of October 2023.,4173,1579,"13,012 MOps/Sec","8,132 MOps/Sec",14 Million Primes/Sec,"7,929 Thousand Strings/Sec","3,244 MBytes/Sec","56,215 KBytes/Sec",315 Frames/Sec,"1,536 Million Matrices/Sec","1,579 MOps/Sec",1579.0,1536.0,8132.0,Mobile/Embedded,,,,,,,
4767,AMD Ryzen Threadripper PRO 5955WX,AMD Ryzen Threadripper PRO 5955WX 16-Cores,sWRX8,4.0 GHz,4.5 GHz,16,32,280 W,"L1: 1024 KB, L2: 8.0 MB, L3: 64 MB",,AMD Ryzen Threadripper PRO 5955WX 16-Cores,Q1 2022,45.34,90,From submitted results to PerformanceTest V10 as of 31st of October 2023.,49877,3327,"188,802 MOps/Sec","105,763 MOps/Sec",260 Million Primes/Sec,"70,421 Thousand Strings/Sec","42,751 MBytes/Sec","693,105 KBytes/Sec","2,974 Frames/Sec","46,857 Million Matrices/Sec","3,327 MOps/Sec",3327.0,46857.0,105763.0,"Desktop, Server",,,,,,,
4715,AMD Ryzen 3 5425U,with Radeon Graphics,FP6,2.7 GHz,4.1 GHz,4,8,15 W,"L1: 256 KB, L2: 2.0 MB, L3: 8 MB",,AMD Ryzen 3 5425U with Radeon Graphics,Q1 2022,NA,860,NA,11457,2937,"41,912 MOps/Sec","22,863 MOps/Sec",28 Million Primes/Sec,"14,443 Thousand Strings/Sec","8,681 MBytes/Sec","136,815 KBytes/Sec",496 Frames/Sec,"9,135 Million Matrices/Sec","2,937 MOps/Sec",2937.0,9135.0,22863.0,Laptop,,,,,,,
4662,MT6891Z/CZA,MT6891Z/CZA,MT6891Z/CZA,2.6 GHz,,8,8,,,,MT6891Z/CZA,Q4 2021,NA,1427,NA,6025,1668,"26,848 MOps/Sec","12,285 MOps/Sec",17 Million Primes/Sec,"13,970 Thousand Strings/Sec","3,734 MBytes/Sec","88,697 KBytes/Sec",378 Frames/Sec,"2,337 Million Matrices/Sec","1,668 MOps/Sec",1668.0,2337.0,12285.0,Mobile/Embedded,,,,,,,
4668,Intel Xeon E-2378 @ 2.60GHz,"Intel(R) Xeon(R) E-2378 CPU @ 2.60GHz, Intel Xeon E-2378 CPU @ 2.60GHz",FCLGA1200,2.6 GHz,4.8 GHz,8,16,65 W,"L1: 640 KB, L2: 4.0 MB, L3: 16 MB","Max. Memory Size: 128 GB (DDR4-3200, ECC Supported)","Intel(R) Xeon(R) E-2378 CPU @ 2.60GHz, Intel Xeon E-2378 CPU @ 2.60GHz",Q1 2022,36.72,595,From submitted results to PerformanceTest V10 as of 31st of October 2023.,17215,3278,"78,082 MOps/Sec","44,404 MOps/Sec",39 Million Primes/Sec,"27,733 Thousand Strings/Sec","11,299 MBytes/Sec","235,692 KBytes/Sec",594 Frames/Sec,"15,088 Million Matrices/Sec","3,278 MOps/Sec",3278.0,15088.0,44404.0,Server,,,,,,,
4771,Intel Core i7-12650H,Intel UHD Graphics for 12th Gen Intel Processors,FCBGA1744,,,,,45 W,"L1: 864 KB, L2: 9.5 MB, L3: 24 MB","Max. Memory Size: 64 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to )","12th Gen Intel(R) Core(TM) i7-12650H, 12th Gen Intel Core i7-12650H",Q1 2022,51.48,367,From submitted results to PerformanceTest V10 as of 31st of October 2023.,23528,3688,"77,842 MOps/Sec","58,448 MOps/Sec",98 Million Primes/Sec,"28,737 Thousand Strings/Sec","15,043 MBytes/Sec","268,630 KBytes/Sec","1,527 Frames/Sec","16,612 Million Matrices/Sec","3,688 MOps/Sec",3688.0,16612.0,58448.0,Laptop,35 W,: 115 W,"10 Cores, 16 Threads",,,"6 Cores, 12 Threads, 2.3 GHz Base, 4.7 GHz Turbo","4 Cores, 4 Threads, 1.7 GHz Base, 3.5 GHz Turbo"
4733,Intel Core i5-1245U,Intel Iris Xe Graphics,FCBGA1744,,,,,15 W,"L1: 928 KB, L2: 6.5 MB, L3: 12 MB","Max. Memory Size: 64 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to )","12th Gen Intel(R) ore(TM) i5-1245U, 12th Gen Intel(R) Core(TM) i5-1245U, 12th Gen Intel Core i5-1245U",Q1 2022,43.69,765,From submitted results to PerformanceTest V10 as of 31st of October 2023.,13501,3160,"51,727 MOps/Sec","33,915 MOps/Sec",41 Million Primes/Sec,"17,205 Thousand Strings/Sec","9,517 MBytes/Sec","148,606 KBytes/Sec",786 Frames/Sec,"8,208 Million Matrices/Sec","3,160 MOps/Sec",3160.0,8208.0,33915.0,"Laptop, Mobile/Embedded",,,"10 Cores, 12 Threads",,,"2 Cores, 4 Threads, 1.6 GHz Base, 4.4 GHz Turbo","8 Cores, 8 Threads, 1.2 GHz Base, 3.3 GHz Turbo"
4732,Intel Pentium Gold G7400,Intel UHD Graphics 710,"LGA1700,BGA1700",3.7 GHz,,2,4,46 W,"L1: 160 KB, L2: 2.5 MB, L3: 6 MB",,"Intel(R) Pentium(R) Gold G7400, Intel Pentium Gold G7400",Q1 2022,74.99,1292,From submitted results to PerformanceTest V10 as of 31st of October 2023.,6749,3027,"18,877 MOps/Sec","14,622 MOps/Sec",33 Million Primes/Sec,"7,216 Thousand Strings/Sec","3,703 MBytes/Sec","73,616 KBytes/Sec",571 Frames/Sec,"4,913 Million Matrices/Sec","3,027 MOps/Sec",3027.0,4913.0,14622.0,Desktop,,,,,,,
4692,Intel Core i7-12700F,"12th Gen Intel(R) Core(TM) i7-12700F, 12th Gen Intel Core i7-12700F",FCLGA1700,,,,,65 W,"L1: 1024 KB, L2: 12.0 MB, L3: 25 MB","Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s)","12th Gen Intel(R) Core(TM) i7-12700F, 12th Gen Intel Core i7-12700F",Q1 2022,108.53,216,From submitted results to PerformanceTest V10 as of 31st of October 2023.,30930,3918,"107,178 MOps/Sec","82,466 MOps/Sec",101 Million Primes/Sec,"40,961 Thousand Strings/Sec","20,551 MBytes/Sec","390,347 KBytes/Sec","1,492 Frames/Sec","25,235 Million Matrices/Sec","3,918 MOps/Sec",3918.0,25235.0,82466.0,Desktop,,: 180 W,"12 Cores, 20 Threads",,,"8 Cores, 16 Threads, 2.1 GHz Base, 4.9 GHz Turbo","4 Cores, 4 Threads, 1.6 GHz Base, 3.6 GHz Turbo"
4689,UGOOS UT8 Board,UGOOS UT8 Board,UGOOS UT8 Board,2.0 GHz,,4,4,,,,UGOOS UT8 Board,Q1 2022,NA,3516,NA,894,543,"11,755 MOps/Sec","2,049 MOps/Sec",3 Million Primes/Sec,"4,051 Thousand Strings/Sec",232.9 MBytes/Sec,"15,933 KBytes/Sec",61 Frames/Sec,294 Million Matrices/Sec,543 MOps/Sec,543.0,294.0,2049.0,Mobile/Embedded,,,,,,,
4774,Snapdragon 8cx Gen 3 @ 3.0 GHz,Qualcomm Adreno GPU,"Snapdragon (TM) 8cx Gen 3 @ 3.0, Snapdragon 8cx Gen 3 @ 3.0 GHz",,,,,,,,"Snapdragon (TM) 8cx Gen 3 @ 3.0, Snapdragon 8cx Gen 3 @ 3.0 GHz",Q1 2022,NA,842,NA,11822,2488,"34,213 MOps/Sec","30,189 MOps/Sec",43 Million Primes/Sec,"22,849 Thousand Strings/Sec","7,417 MBytes/Sec","142,126 KBytes/Sec",686 Frames/Sec,"5,902 Million Matrices/Sec","2,488 MOps/Sec",2488.0,5902.0,30189.0,"Laptop, Mobile/Embedded",,,"8 Cores, 8 Threads","4 Cores, 4 Threads, 3.0 GHz Base, NA Turbo","4 Cores, 4 Threads, 2.4 GHz Base, NA Turbo",,
